ID_base,life_form,rank,family,working_name,tip_name,alien,habitat,dispersal_syndrome,max_height_m,max_height_m.y,sla_mm_mg,sla_mm_mg.y,wd_g_cm3,wd_g_cm3.y
DMF0001,tree,species,Apocynaceae,Alstonia angustiloba,Alstonia_angustiloba,0,forest,anemochory-ballis-hydro,40,40,19.69063442,19.690634419999995,0.294909703,0.294909703
DMF0064,liana,genus,Apocynaceae,Secamone,Secamone,0,NA,anemochory-ballis-hydro,5.5,5.5,NA,24.146946701105115,NA,0.3749580209813159
DMF0039,treelet,species,Apocynaceae,Tabernaemontana pauciflora,Tabernaemontana_pauciflora,0,forest,zoochory,6,6,24.13754151,24.13754151,0.42,0.42
KR0187,tree,species,Arecaceae,Elaeis guineensis,Elaeis_guineensis,1,open habitats,zoochory,20,19.999999999999996,15.81722338,15.817223380000001,NA,0.44822534778643075
DMF0022,shrub,species,Asteraceae,Clibadium surinamense,Clibadium_surinamense,1,open habitats,zoochory,5,4.999999999999999,NA,19.888365113767513,NA,0.4466565268164821
DMF0007,tree,species,Cannabaceae,Trema tomentosum,Trema_tomentosum,0,open habitats,zoochory,24,24.000000000000004,28.21518095,28.215180950000008,0.28571429,0.28571429
DMF0025,tree,species,Combretaceae,Terminalia calamansanai,Terminalia_calamansanai,0,open habitats,zoochory,30,30.000000000000004,NA,14.425451785479462,0.468424,0.468424
DMF0062,liana,species,Convolvulaceae,Camonea pilosa,Camonea_pilosa,0,open habitats,zoochory,7.2,7.2,NA,11.432929029850696,NA,0.4472145588421361
DMF0058,liana,species,Convolvulaceae,Erycibe rheedei,Erycibe_rheedei,0,open habitats,zoochory,1.7,1.7,6.373842,6.373841999999999,0.53712297,0.53712297
DMF0037,tree,species,Dilleniaceae,Dillenia excelsa,Dillenia_excelsa,0,forest,zoochory,40,40,10.21068191,10.210681909999998,0.51581253,0.51581253
DMF0021,tree,species,Euphorbiaceae,Croton argyratus,Croton_argyratus,0,forest,anemochory-ballis-hydro,24,24.000000000000004,17.91187065,17.911870650000004,0.438984057,0.438984057
DMF0020,tree,species,Euphorbiaceae,Macaranga bancana,Macaranga_bancana,0,open habitats,zoochory,23,23,15.57781632,15.577816319999998,0.31,0.31
DMF0004,tree,species,Euphorbiaceae,Macaranga conifera,Macaranga_conifera,0,forest,zoochory,24,24.000000000000004,15.23987898,15.239878980000004,0.362698103,0.362698103
DMF0019,tree,species,Euphorbiaceae,Macaranga gigantea,Macaranga_gigantea,0,open habitats,zoochory,30,30.000000000000004,12.78337571,12.78337571,0.290740741,0.290740741
DMF0006,shrub,species,Euphorbiaceae,Macaranga trichocarpa,Macaranga_trichocarpa,0,open habitats,zoochory,5,4.999999999999999,23.95539097,23.95539097,0.403459455,0.403459455
DMF0010,tree,species,Euphorbiaceae,Mallotus macrostachyus,Mallotus_macrostachyus,0,open habitats,zoochory,16,15.999999999999998,13.21042815,13.210428150000002,0.356023283,0.356023283
DMF0009,tree,species,Euphorbiaceae,Mallotus paniculatus,Mallotus_paniculatus,0,open habitats,zoochory,15,15,14.03399095,14.03399095,0.35269678,0.35269678
DMF0036,tree,species,Euphorbiaceae,Mallotus peltatus,Mallotus_peltatus,0,open habitats,zoochory,21,21,18.36398859,18.363988589999998,0.491622673,0.491622673
DMF0040,tree,species,Fabaceae,Archidendron jiringa,Archidendron_jiringa,0,forest,zoochory,21,21,15.34343784,15.343437839999998,0.51674641,0.51674641
DMF0063,liana,species,Fabaceae,Centrosema molle,Centrosema_molle,1,open habitats,zoochory,5.2,5.2,50.33334615,50.33334614999999,NA,0.1856221817006976
DMF0056,liana,species,Fabaceae,Mucuna biplicata,Mucuna_biplicata,0,open habitats,anemochory-ballis-hydro,15.1,15.100000000000003,22.857125,22.857124999999996,0.124466043,0.124466043
DMF0060,liana,species,Fabaceae,Phanera semibifida,Phanera_semibifida,0,open habitats,zoochory,6.2,6.200000000000001,20.31993712,20.319937119999995,0.462949407,0.462949407
DMF0032,shrub,species,Fabaceae,Senna alata,Senna_alata,1,open habitats,anemochory-ballis-hydro,5,4.999999999999999,26.97274524,26.97274524,0.26040346,0.26040346
DMF0041,tree,species,Hypericaceae,Cratoxylum formosum,Cratoxylum_formosum,0,forest,anemochory-ballis-hydro,35,34.99999999999999,22.531544,22.531544,0.724346182,0.724346182
